Country,year,NT,UT,TFP,NI,GS,ODM,ND,Population,PopulationWithLog,NT,UT,TFP,NI,GS,,ND
AUSTRIA,2017,170,50,57,1625,47,77,14213,8772865,6.943141446,2.45E+01,7.20E+00,8.21E+00,234.0439141,6.77E+00,,2047.056093
AUSTRIA,2018,110,30,32,1188,68,65,17305,8822267,6.945580197,1.58E+01,4.32E+00,4.61E+00,171.044026,9.79E+00,,2491.512517
AUSTRIA,2019,265,76,118,3349,67,66,21069,8858775,6.947373671,3.81E+01,1.09E+01,1.70E+01,482.052666,9.64E+00,,3032.656799
AUSTRIA,2020,286,82,143,3166,108,90,21549,8901064,6.949441924,4.12E+01,1.18E+01,2.06E+01,455.5761505,1.55E+01,,3100.824532
AUSTRIA,2021,247,81,105,3573,159,92,27231,8932664,6.950980998,3.55E+01,1.17E+01,1.51E+01,514.0281639,2.29E+01,,3917.576527
BELGIUM,2017,17,7,0,63,11,68,10525,11351727,7.055061938,2.41E+00,9.92E-01,0.00E+00,8.929758598,1.56E+00,,1491.836655
BELGIUM,2018,6,4,0,17,8,65,10780,11398589,7.056851095,8.50E-01,5.67E-01,0.00E+00,2.409006478,1.13E+00,,1527.593519
BELGIUM,2019,9,4,0,22,9,65,11041,11455519,7.05901477,1.27E+00,5.67E-01,0.00E+00,3.116582231,1.27E+00,,1564.099291
BELGIUM,2020,6,2,0,20,8,62,9335,11522440,7.061544455,8.50E-01,2.83E-01,0.00E+00,2.832241605,1.13E+00,,1321.948769
BELGIUM,2021,3,3,0,15,12,55,10392,11554767,7.062761192,4.25E-01,4.25E-01,0.00E+00,2.12381526,1.70E+00,,1471.379212
BULGARIA,2017,12,10,0,49,10,76,6020,7101859,6.851372046,1.75E+00,1.46E+00,0.00E+00,7.151852165,1.46E+00,,878.6561232
BULGARIA,2018,5,4,0,8,5,66,6713,7050034,6.848191211,7.30E-01,5.84E-01,0.00E+00,1.168191681,7.30E-01,,980.2588439
BULGARIA,2019,6,5,0,2,7,57,7486,7000039,6.84510046,8.77E-01,7.30E-01,0.00E+00,0.292179788,1.02E+00,,1093.628946
BULGARIA,2020,14,2,0,58,9,78,8422,6951482,6.842077403,2.05E+00,2.92E-01,0.00E+00,8.476957595,1.32E+00,,1230.912705
BULGARIA,2021,35,10,0,116,11,78,3264,6916548,6.839889395,5.12E+00,1.46E+00,0.00E+00,16.95933856,1.61E+00,,477.2006989
