Country,year,NT,UT,TFP,NI,GS,ODM,ND,Population,,NT,UT,TFP,NI,GS,,ND
AUSTRIA,2017,170,50,57,1625,47,77,14213,8772865,,1.94E-05,5.70E-06,6.50E-06,0.00018523,5.36E-06,,0.001620109
AUSTRIA,2018,110,30,32,1188,68,65,17305,8822267,,1.25E-05,3.40E-06,3.63E-06,0.000134659,7.71E-06,,0.001961514
AUSTRIA,2019,265,76,118,3349,67,66,21069,8858775,,2.99E-05,8.58E-06,1.33E-05,0.000378043,7.56E-06,,0.00237832
AUSTRIA,2020,286,82,143,3166,108,90,21549,8901064,,3.21E-05,9.21E-06,1.61E-05,0.000355688,1.21E-05,,0.002420947
AUSTRIA,2021,247,81,105,3573,159,92,27231,8932664,,2.77E-05,9.07E-06,1.18E-05,0.000399993,1.78E-05,,0.003048475
BELGIUM,2017,17,7,0,63,11,68,10525,11351727,,1.50E-06,6.17E-07,0.00E+00,5.54982E-06,9.69E-07,,0.000927172
BELGIUM,2018,6,4,0,17,8,65,10780,11398589,,5.26E-07,3.51E-07,0.00E+00,1.49141E-06,7.02E-07,,0.000945731
BELGIUM,2019,9,4,0,22,9,65,11041,11455519,,7.86E-07,3.49E-07,0.00E+00,1.92047E-06,7.86E-07,,0.000963815
BELGIUM,2020,6,2,0,20,8,62,9335,11522440,,5.21E-07,1.74E-07,0.00E+00,1.73574E-06,6.94E-07,,0.000810158
BELGIUM,2021,3,3,0,15,12,55,10392,11554767,,2.60E-07,2.60E-07,0.00E+00,1.29817E-06,1.04E-06,,0.000899369
BULGARIA,2017,12,10,0,49,10,76,6020,7101859,,1.69E-06,1.41E-06,0.00E+00,6.8996E-06,1.41E-06,,0.000847665
BULGARIA,2018,5,4,0,8,5,66,6713,7050034,,7.09E-07,5.67E-07,0.00E+00,1.13475E-06,7.09E-07,,0.000952194
BULGARIA,2019,6,5,0,2,7,57,7486,7000039,,8.57E-07,7.14E-07,0.00E+00,2.85713E-07,1.00E-06,,0.001069423
BULGARIA,2020,14,2,0,58,9,78,8422,6951482,,2.01E-06,2.88E-07,0.00E+00,8.34354E-06,1.29E-06,,0.00121154
BULGARIA,2021,35,10,0,116,11,78,3264,6916548,,5.06E-06,1.45E-06,0.00E+00,1.67714E-05,1.59E-06,,0.000471912
CROATIA,2017,8,4,0,26,19,76,363,4154213,,1.93E-06,9.63E-07,0.00E+00,6.25871E-06,4.57E-06,,8.73812E-05
CROATIA,2018,6,2,0,10,44,62,473,4105493,,1.46E-06,4.87E-07,0.00E+00,2.43576E-06,1.07E-05,,0.000115211
CROATIA,2019,1,1,0,2,25,69,617,4076246,,2.45E-07,2.45E-07,0.00E+00,4.90648E-07,6.13E-06,,0.000151365
CROATIA,2020,3,2,0,11,18,82,740,4058165,,7.39E-07,4.93E-07,0.00E+00,2.71058E-06,4.44E-06,,0.000182348
CROATIA,2021,6,3,0,23,25,84,869,4036355,,1.49E-06,7.43E-07,0.00E+00,5.69821E-06,6.19E-06,,0.000215293
CYPRUS,2017,19,5,4,57,3,75,949,854802,,2.22E-05,5.85E-06,4.68E-06,6.66821E-05,3.51E-06,,0.001110199
CYPRUS,2018,39,17,14,341,4,80,995,864236,,4.51E-05,1.97E-05,1.62E-05,0.000394568,4.63E-06,,0.001151306
CYPRUS,2019,20,6,8,155,8,80,1043,875899,,2.28E-05,6.85E-06,9.13E-06,0.000176961,9.13E-06,,0.001190777
CYPRUS,2020,16,10,3,206,9,87,1084,888005,,1.80E-05,1.13E-05,3.38E-06,0.000231981,1.01E-05,,0.001220714
CYPRUS,2021,8,6,3,52,12,91,854,896007,,8.93E-06,6.70E-06,3.35E-06,5.80353E-05,1.34E-05,,0.000953118
CZECH,2017,37,16,0,336,2,68,120470,10578820,,3.50E-06,1.51E-06,0.00E+00,3.17616E-05,1.89E-07,,0.011387849
CZECH,2018,33,13,0,414,4,62,124822,10610055,,3.11E-06,1.23E-06,0.00E+00,3.90196E-05,3.77E-07,,0.011764501
CZECH,2019,25,11,0,345,17,64,129332,10649800,,2.35E-06,1.03E-06,0.00E+00,3.2395E-05,1.60E-06,,0.012144078
CZECH,2020,41,10,0,638,13,72,131656,10693939,,3.83E-06,9.35E-07,0.00E+00,5.966E-05,1.22E-06,,0.012311273
CZECH,2021,59,11,0,677,23,74,136955,10494836,,5.62E-06,1.05E-06,0.00E+00,6.45079E-05,2.19E-06,,0.013049751
DENMARK,2017,55,25,21,248,10,58,1113,5748769,,9.57E-06,4.35E-06,3.65E-06,4.31397E-05,1.74E-06,,0.000193607
DENMARK,2018,22,17,3,110,10,37,1049,5781190,,3.81E-06,2.94E-06,5.19E-07,1.90272E-05,1.73E-06,,0.000181451
DENMARK,2019,59,15,37,331,13,78,988,5806081,,1.02E-05,2.58E-06,6.37E-06,5.70092E-05,2.24E-06,,0.000170166
DENMARK,2020,48,16,31,444,17,96,927,5822763,,8.24E-06,2.75E-06,5.32E-06,7.62525E-05,2.92E-06,,0.000159203
DENMARK,2021,26,12,14,133,25,91,710,5840045,,4.45E-06,2.05E-06,2.40E-06,2.27738E-05,4.28E-06,,0.000121574
ESTONIA,2017,0,0,0,0,2,58,0,1315635,,0.00E+00,0.00E+00,0.00E+00,0,1.52E-06,,0
ESTONIA,2018,1,1,0,1,7,44,0,1319133,,7.58E-07,7.58E-07,0.00E+00,7.58074E-07,5.31E-06,,0
ESTONIA,2019,5,5,0,5,13,67,0,1324820,,3.77E-06,3.77E-06,0.00E+00,3.7741E-06,9.81E-06,,0
ESTONIA,2020,3,3,0,2,9,91,0,1328976,,2.26E-06,2.26E-06,0.00E+00,1.50492E-06,6.77E-06,,0
ESTONIA,2021,0,0,0,0,14,94,0,1330068,,0.00E+00,0.00E+00,0.00E+00,0,1.05E-05,,0
FINLAND,2017,77,37,28,538,55,90,1174,5503297,,1.40E-05,6.72E-06,5.09E-06,9.77596E-05,9.99E-06,,0.000213327
FINLAND,2018,41,21,18,444,61,62,1318,5513130,,7.44E-06,3.81E-06,3.26E-06,8.0535E-05,1.11E-05,,0.000239066
FINLAND,2019,59,20,17,568,76,76,1479,5517919,,1.07E-05,3.62E-06,3.08E-06,0.000102937,1.38E-05,,0.000268036
FINLAND,2020,45,25,10,449,69,85,1513,5525292,,8.14E-06,4.52E-06,1.81E-06,8.12627E-05,1.25E-05,,0.000273832
FINLAND,2021,28,17,3,567,62,86,1734,5533793,,5.06E-06,3.07E-06,5.42E-07,0.000102461,1.12E-05,,0.000313347
FRANCE,2017,1263,758,25,10425,233,91,37042,66809816,,1.89E-05,1.13E-05,3.74E-07,0.00015604,3.49E-06,,0.000554439
FRANCE,2018,966,536,46,13329,323,83,38004,67026224,,1.44E-05,8.00E-06,6.86E-07,0.000198862,4.82E-06,,0.000567002
FRANCE,2019,1076,583,54,20047,306,89,38991,67290471,,1.60E-05,8.66E-06,8.02E-07,0.000297917,4.55E-06,,0.000579443
FRANCE,2020,1835,852,56,19264,434,94,38300,67485531,,2.72E-05,1.26E-05,8.30E-07,0.000285454,6.43E-06,,0.000567529
FRANCE,2021,1751,716,44,31500,635,98,38211,67656682,,2.59E-05,1.06E-05,6.50E-07,0.000465586,9.39E-06,,0.000564778
GERMANY,2017,69,40,13,477,49,70,18826,82521653,,8.36E-07,4.85E-07,1.58E-07,5.7803E-06,5.94E-07,,0.000228134
GERMANY,2018,66,45,10,830,114,64,23826,82792351,,7.97E-07,5.44E-07,1.21E-07,1.00251E-05,1.38E-06,,0.00028778
GERMANY,2019,85,47,5,1547,136,68,30154,83019213,,1.02E-06,5.66E-07,6.02E-08,1.86342E-05,1.64E-06,,0.000363217
GERMANY,2020,78,41,6,1215,127,88,41710,83166711,,9.38E-07,4.93E-07,7.21E-08,1.46092E-05,1.53E-06,,0.000501523
GERMANY,2021,83,49,9,1471,122,89,48050,83155031,,9.98E-07,5.89E-07,1.08E-07,1.76898E-05,1.47E-06,,0.000577836
GREECE,2017,5,4,0,22,27,72,8799,10768193,,4.64E-07,3.71E-07,0.00E+00,2.04305E-06,2.51E-06,,0.000817129
GREECE,2018,13,5,0,19,32,74,9151,10741165,,1.21E-06,4.65E-07,0.00E+00,1.7689E-06,2.98E-06,,0.000851956
GREECE,2019,7,5,0,5,26,66,9517,10724599,,6.53E-07,4.66E-07,0.00E+00,4.66218E-07,2.42E-06,,0.000887399
GREECE,2020,81,71,0,1226,28,85,10376,10718565,,7.56E-06,6.62E-06,0.00E+00,0.000114381,2.61E-06,,0.00096804
GREECE,2021,41,35,0,288,43,82,7131,10678632,,3.84E-06,3.28E-06,0.00E+00,2.69697E-05,4.03E-06,,0.000667782
IRELAND,2017,265,86,64,2018,32,96,366,4784383,,5.54E-05,1.80E-05,1.34E-05,0.000421789,6.69E-06,,7.64989E-05
IRELAND,2018,167,57,12,1211,36,88,764,4830392,,3.46E-05,1.18E-05,2.48E-06,0.000250704,7.45E-06,,0.000158165
IRELAND,2019,0,0,0,0,39,91,1591,4904240,,0.00E+00,0.00E+00,0.00E+00,0,7.95E-06,,0.000324413
