0,1.32949E+18,2021-12-31T10:42:12.000Z,['1476866271258025996'],"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BFGUMPV7wF', 'expanded_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego', 'display_url': 'dane.gov.pl/pl/dataset/195…', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego'}]}",1.47687E+18,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,"https://t.co/BFGUMPV7wF
Porównać liczby z 2021"
1,1.46614E+18,2021-12-30T08:07:35.000Z,['1476464972767105024'],"{'hashtags': [{'start': 4, 'end': 10, 'tag': 'media'}, {'start': 24, 'end': 30, 'tag': 'Covid'}, {'start': 168, 'end': 180, 'tag': 'mediaMilcza'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/IduAqFjN5l', 'expanded_url': 'https://datawrapper.dwcdn.net/G7Vrm/', 'display_url': 'datawrapper.dwcdn.net/G7Vrm/', 'status': 200, 'unwound_url': 'https://datawrapper.dwcdn.net/G7Vrm/'}, {'start': 191, 'end': 214, 'url': 'https://t.co/Jtp47FRDAi', 'expanded_url': 'https://api.dane.gov.pl/media/resources/20211228/Liczba_zgon%C3%B3w_w_Rejestrze_Stanu_Cywilnego_w_latach_2015-2021_-_dane_tygodniowe_og%C3%B3%C5%82em.csv', 'display_url': 'api.dane.gov.pl/media/resource…', 'status': 200, 'unwound_url': 'https://api.dane.gov.pl/media/resources/20211228/Liczba_zgon%C3%B3w_w_Rejestrze_Stanu_Cywilnego_w_latach_2015-2021_-_dane_tygodniowe_og%C3%B3%C5%82em.csv'}, {'start': 215, 'end': 238, 'url': 'https://t.co/Flh8O1bvfe', 'expanded_url': 'https://www.gov.pl/web/koronawirus/wykaz-zarazen-koronawirusem-sars-cov-2', 'display_url': 'gov.pl/web/koronawiru…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1590648358322188288/mBZ_47_A?format=jpg&name=orig', 'width': 1200, 'height': 1200}, {'url': 'https://pbs.twimg.com/news_img/1590648358322188288/mBZ_47_A?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Raport zakażeń koronawirusem (SARS-CoV-2) - Koronawirus: informacje i zalecenia - Portal Gov.pl', 'description': 'W celu świadczenia usług na najwyższym poziomie stosujemy pliki cookies. Korzystanie z naszej witryny oznacza, że będą one zamieszczane w Państwa urządzeniu. W każdym momencie można dokonać zmiany ustawień Państwa przeglądarki. Zobacz politykę', 'unwound_url': 'https://www.gov.pl/web/koronawirus/wykaz-zarazen-koronawirusem-sars-cov-2'}, {'start': 239, 'end': 262, 'url': 'https://t.co/ByldKCVVzt', 'expanded_url': 'https://twitter.com/stanowczyglos/status/1476464972767105024/photo/1', 'display_url': 'pic.twitter.com/ByldKCVVzt', 'media_key': '3_1476460172759506944'}]}",1.47646E+18,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 9, 'quote_count': 2}",Twitter Web App,"Gdy #media liczą ofiary #Covid tupolewami, każdego tygodnia ""tonie"" 5 titanic'ów🚢, gdzie COV🦠stanowi drobny ułamek.
👉https://t.co/IduAqFjN5l👈
Przez polityczne decyzje!
#mediaMilcza
1/2
Dane:
https://t.co/Jtp47FRDAi
https://t.co/Flh8O1bvfe https://t.co/ByldKCVVzt"
2,701441252,2021-12-28T19:46:36.000Z,['1475916108771299336'],"{'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/DQmQGoT9mA', 'expanded_url': 'http://dane.gov.pl', 'display_url': 'dane.gov.pl', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/'}]}",1.47592E+18,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,"Według najnowszych danych z Rejestru Stanu Cywilnego (publikowanego przez Ministerstwo Cyfryzacji na portalu https://t.co/DQmQGoT9mA), w ciągu pierwszych 52 pełnych tygodni temu roku (a więc konkretnie od 4 stycznia br. do 28 grudnia) zmarło w Polsce blisko 506 tys. osób. Dramat."
3,1.42733E+18,2021-12-23T13:39:02.000Z,['1474011668539748355'],"{'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/dcpbsowvp6', 'expanded_url': 'http://dane.gov.pl', 'display_url': 'dane.gov.pl', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/'}, {'start': 281, 'end': 304, 'url': 'https://t.co/dgG6VqcQXl', 'expanded_url': 'https://twitter.com/Marek39556099/status/1474011668539748355/photo/1', 'display_url': 'pic.twitter.com/dgG6VqcQXl', 'media_key': '3_1474011369024495626'}]}",1.47401E+18,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 22, 'quote_count': 0}",Twitter Web App,"Ciekawostka i wyjaśnienie. Do analiz wykorzystuję dane o szczepieniach z ECDC. Dane prezentowane na stronie https://t.co/dcpbsowvp6 różnią się nieco - głównie dla woj. podlaskiego (?). Ale""przesunięcie"" woj. podlaskiego w lewo zwiększa korelację, więc wnioski pozostają bez zmian. https://t.co/dgG6VqcQXl"
4,391996336,2021-12-17T11:58:22.000Z,['1471812008916000768'],"{'hashtags': [{'start': 142, 'end': 151, 'tag': 'opendata'}, {'start': 152, 'end': 164, 'tag': 'spatialdata'}], 'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/ColICHqnUl', 'expanded_url': 'https://dane.gov.pl/pl/dataset/2030,dane-obiektow-topograficznych-o-szczegolowosci-zap', 'display_url': 'dane.gov.pl/pl/dataset/203…', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/2030,dane-obiektow-topograficznych-o-szczegolowosci-zap'}, {'start': 118, 'end': 141, 'url': 'https://t.co/spnUW59Bcm', 'expanded_url': 'https://bdot10k.geoportal.gov.pl/', 'display_url': 'bdot10k.geoportal.gov.pl', 'status': 200, 'unwound_url': 'https://bdot10k.geoportal.gov.pl/'}, {'start': 165, 'end': 188, 'url': 'https://t.co/Wbpgw07TnS', 'expanded_url': 'https://twitter.com/GUGiKgovpl/status/1471812008916000768/photo/1', 'display_url': 'pic.twitter.com/Wbpgw07TnS', 'media_key': '3_1471811948924841984'}]}",1.47181E+18,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,"Czy wiesz, że w Polsce mamy 16232 pomniki? Tę i wiele innych informacji znajdziesz w BDOT10k!
https://t.co/ColICHqnUl
https://t.co/spnUW59Bcm
#opendata #spatialdata https://t.co/Wbpgw07TnS"
5,1296131204,2021-12-13T18:27:10.000Z,['1470460300113719298'],"{'urls': [{'start': 252, 'end': 275, 'url': 'https://t.co/czpQAUXmK1', 'expanded_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego', 'display_url': 'dane.gov.pl/pl/dataset/195…', 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego'}, {'start': 276, 'end': 299, 'url': 'https://t.co/OCrQUvDOsC', 'expanded_url': 'https://twitter.com/RafalMundry/status/1470460300113719298/photo/1', 'display_url': 'pic.twitter.com/OCrQUvDOsC', 'media_key': '3_1470458834967842816'}]}",1.47046E+18,"{'retweet_count': 16, 'reply_count': 13, 'like_count': 53, 'quote_count': 8}",Twitter Web App,"KPRM:
W minionym tygodniu odnotowano 13,3 tys. zgonów. Zwykle jest 7,5 tys.

Zbliżamy się do rekordu wiosennej fali

Wyrównaliśmy też liczbę zgonów z zeszłego roku (477 tys). A zostały jeszcze 2 tyg. Bardzo prawdopodobne 500 tys. za cały 2021

Źródło: https://t.co/czpQAUXmK1 https://t.co/OCrQUvDOsC"
6,42717626,2021-12-10T15:52:19.000Z,['1469334170501627906'],"{'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/EOXNJJ58Ql', 'expanded_url': 'https://dane.gov.pl/pl/dataset/2582,statystyki-zakazen-i-zgonow-z-powodu-covid-19-z-uw', 'display_url': 'dane.gov.pl/pl/dataset/258…', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/2582,statystyki-zakazen-i-zgonow-z-powodu-covid-19-z-uw'}, {'start': 125, 'end': 148, 'url': 'https://t.co/OrVktvTlsu', 'expanded_url': 'https://twitter.com/iggnacy/status/1469334170501627906/photo/1', 'display_url': 'pic.twitter.com/OrVktvTlsu', 'media_key': '3_1469334163245486080'}]}",1.46933E+18,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 22, 'quote_count': 1}",Twitter Web App,"Zgony na COVID-19 w Polsce w ostatnim miesiącu (łącznie) w podziale na wiek i status zaszczepienia. 
https://t.co/EOXNJJ58Ql https://t.co/OrVktvTlsu"
7,42717626,2021-12-10T15:31:30.000Z,['1469328929488084996'],"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/EOXNJJ58Ql', 'expanded_url': 'https://dane.gov.pl/pl/dataset/2582,statystyki-zakazen-i-zgonow-z-powodu-covid-19-z-uw', 'display_url': 'dane.gov.pl/pl/dataset/258…', 'status': 200, 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/2582,statystyki-zakazen-i-zgonow-z-powodu-covid-19-z-uw'}, {'start': 76, 'end': 99, 'url': 'https://t.co/3VS31R1CGs', 'expanded_url': 'https://twitter.com/iggnacy/status/1469328929488084996/photo/1', 'display_url': 'pic.twitter.com/3VS31R1CGs', 'media_key': '3_1469328865029984257'}, {'start': 76, 'end': 99, 'url': 'https://t.co/3VS31R1CGs', 'expanded_url': 'https://twitter.com/iggnacy/status/1469328929488084996/photo/1', 'display_url': 'pic.twitter.com/3VS31R1CGs', 'media_key': '3_1469328884709658630'}]}",1.46933E+18,"{'retweet_count': 5, 'reply_count': 6, 'like_count': 26, 'quote_count': 0}",Twitter Web App,"Zgony na COVID-19 w Polsce według statusu szczepień
https://t.co/EOXNJJ58Ql https://t.co/3VS31R1CGs"
8,391996336,2021-12-10T11:19:56.000Z,['1469265622571880450'],"{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/34y2O8iFyJ', 'expanded_url': 'https://dane.gov.pl/pl/dataset/726,panstwowy-rejestr-granic-i-powierzchni-jednostek-podziaow-terytorialnych-kraju', 'display_url': 'dane.gov.pl/pl/dataset/726…', 'status': 200, 'title': 'Podpowiedź', 'description': 'W ramach zbioru danych udostępniane są: PRG - jednostki administracyjne: obręby ewidencyjne; gminy; jednostki ewidencyjne; powiaty; województwa; Państwo PRG - granice specjalne: obszar działania szefa obrony cywilnej województwa; reda; urząd morski; regionalny...', 'unwound_url': 'https://dane.gov.pl/pl/dataset/726,panstwowy-rejestr-granic-i-powierzchni-jednostek-podziaow-terytorialnych-kraju'}, {'start': 111, 'end': 134, 'url': 'https://t.co/d8dVbRvHtI', 'expanded_url': 'https://twitter.com/GUGiKgovpl/status/1469265622571880450/photo/1', 'display_url': 'pic.twitter.com/d8dVbRvHtI', 'media_key': '3_1469265550220173320'}]}",1.46927E+18,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App,"Czy wiesz, że największą gminą w Polsce jest Pisz? Ma powierzchnię aż 63 376 hektarów! https://t.co/34y2O8iFyJ https://t.co/d8dVbRvHtI"
9,1296131204,2021-12-07T09:29:00.000Z,['1468150540051927040'],"{'urls': [{'start': 255, 'end': 278, 'url': 'https://t.co/czpQAUXmK1', 'expanded_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego', 'display_url': 'dane.gov.pl/pl/dataset/195…', 'title': 'Otwarte Dane', 'unwound_url': 'https://dane.gov.pl/pl/dataset/1953,liczba-zgonow-zarejestrowanych-w-rejestrze-stanu-cywilnego'}, {'start': 279, 'end': 302, 'url': 'https://t.co/vOOAVoZpqS', 'expanded_url': 'https://twitter.com/RafalMundry/status/1468150540051927040/photo/1', 'display_url': 'pic.twitter.com/vOOAVoZpqS', 'media_key': '3_1468148495743860737'}]}",1.46815E+18,"{'retweet_count': 21, 'reply_count': 5, 'like_count': 62, 'quote_count': 9}",Twitter Web App,"KPRM:
W minionym tygodniu odnotowano 12,5 tys. zgonów (wszystkich). Zwykle jest 7,5 tys. Na covid oficjalnie zmarło 2633

Pozwala to na wstępny szacunek za cały listopad na poziomie 47-50 tys. zgonów

Rok temu było to 66 tys.
2 lata temu 31 tys.

Źródło:
https://t.co/czpQAUXmK1 https://t.co/vOOAVoZpqS"
